nume_actiune,timestamp
REGISTER_CUSTOMER[Ion Popescu],2026-06-01 17:56:53
REGISTER_CUSTOMER[Maria Ionescu],2026-06-01 17:56:53
OPEN_ACCOUNT[RO49AAAA0890745771171840 (CURRENT)],2026-06-01 17:56:53
OPEN_ACCOUNT[RO49AAAA0044508677113852 (SAVINGS)],2026-06-01 17:56:53
OPEN_ACCOUNT[RO49AAAA0272711223134774 (CURRENT)],2026-06-01 17:56:53
DEPOSIT[5000.0 RON -> RO49AAAA0890745771171840],2026-06-01 17:56:53
DEPOSIT[2000.0 RON -> RO49AAAA0044508677113852],2026-06-01 17:56:53
DEPOSIT[3000.0 RON -> RO49AAAA0272711223134774],2026-06-01 17:56:53
WITHDRAWAL[500.0 RON din RO49AAAA0890745771171840],2026-06-01 17:56:53
TRANSFER[1000.0 RON din RO49AAAA0890745771171840 catre RO49AAAA0272711223134774],2026-06-01 17:56:53
ISSUE_CARD[**** **** **** 3454 (DEBIT)],2026-06-01 17:56:53
ISSUE_CARD[**** **** **** 4383 (CREDIT)],2026-06-01 17:56:53
ISSUE_CARD[**** **** **** 2007 (DEBIT)],2026-06-01 17:56:53
CARD_PAYMENT[150.0 RON la Carrefour],2026-06-01 17:56:53
CARD_PAYMENT[800.0 RON la Booking.com],2026-06-01 17:56:53
BLOCK_CARD[**** **** **** 2007],2026-06-01 17:56:53
GRANT_LOAN[20000.0 RON, 60 luni, client: USR-1780325813063],2026-06-01 17:56:53
LOAN_PAYMENT[LOAN-1780325813176 | plata: 410.3306265410252],2026-06-01 17:56:53
GENERATE_STATEMENT[RO49AAAA0890745771171840],2026-06-01 17:56:53
DB_UPDATE_USER[USR-1780325813063],2026-06-01 17:56:53
FIND_ACCOUNT_BY_IBAN[RO49AAAA0890745771171840],2026-06-01 17:56:53
DB_UPDATE_ACCOUNT[ACC-1780325813096],2026-06-01 17:56:53
OPEN_ACCOUNT[RO49AAAA0743382234235990 (CURRENT)],2026-06-01 17:56:53
DB_DELETE_ACCOUNT[ACC-1780325813215],2026-06-01 17:56:53
DB_DELETE_CARD[CRD-1780325813158],2026-06-01 17:56:53
PRINT_ACCOUNTS_SORTED,2026-06-01 17:56:53
PRINT_CUSTOMER_DETAILS[USR-1780325813063],2026-06-01 17:56:53
